Codice,Nome,Designer,Materiale_Rivestimento,Solo_Pelle,Solo_Tessuto,Mix_Pelle_Tessuto_Possibile,Sfoderabile,Meccanismi_Relax,Poggiatesta_Regolabile,Funzione_Letto,Modulare,Struttura_Interna,Piedi_Materiale,Piedi_Finiture,Piedi_Altezza_cm,Piedi_Assemblati,Cuscino_Seduta_Stato,Cuscino_Spalliera_Stato,Note_Versioni_Configurazioni,Anno_Nascita,Imbottitura_Memory_Foam,Imbottitura_Climalight,Imbottitura_Piuma,Piedi_Ant_Post_Diversi,Opzione_Batteria,Porta_USB,Laterali_Componibile_Materiale,Tipo_Cuciture_Speciali,Contrasto_Filo_Bordino,Note_Restrizioni_Materiali,Note_Caratteristiche_Speciali
1800,Accessori,Natuzzi Design Center,Pelle/Tessuto,Non Specificato,Non Specificato,Sì,Non Specificato,No,No,No,No,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Versioni pelle: cuscino perforato. V.122 (quadrato): fiocco, senza bordino. V.222 (quadrato): piuma, con bordino. V.238 (quadrato): piuma, senza bordino. V.376 (quadrato): fiocco, con impuntura. V.385 (rettangolare): fiocco, con impuntura. V.112 (poggiareni): fiocco. V.245 (rettangolare con fascia): fiocco. V.119 (quadrato con fascia): fiocco. V.124 (rullo): fiocco. BICOLORE: 1°Riv=Cuscino (solo V.222), 2°Riv=Bordino.",Non Specificato,No,No,Sì,Non Specificato,No,No,Non Applicabile,Impuntura,Sì,Non Specificato,Imbottitura Fiocco o Piuma a seconda della versione.
1921,Bracque,Non Specificato,Pelle/Tessuto,Sì,No,No,No,No,No,No,No,Legno,Non Specificato,"Non Specificato",3.0,No,Fisso,Non Specificato,"Disponibile con tessuti accents. PELLE: Disponibile solo in pelle Top Grain.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Disponibile solo in pelle Top Grain.",Cuscino seduta fisso (unito alla struttura). Piedi in busta.
2012,Scacco,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,Non Specificato,No,No,No,No,Non Specificato,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile in tutti i tessuti Natuzzi Italia compreso Byborre. Secondo rivestimento (fasce logo) sempre in pelle Le Mans.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,Sì,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30), Cassidy (cat.60).","Imbottitura in polistirolo riciclato, leggero."
2030,Plaza,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Legno,Legno/Metallo,"Legno: 09 (Noce), 18 (Wengè); Metallo: 75 (Nichel Satinato)",6.5,No,Fisso,Fisso,"Laterale del divano componibile non in pelle (rivestito in tessuto).",Non Specificato,No,No,No,No,No,No,Tessuto,Nessuna,No,Non Specificato,Best seller. Bracciolo particolare. Piedi in busta.
2422,Amadeus,Non Specificato,Pelle,Sì,No,Sì,No,No,No,No,No,Legno,Legno,"09 (Noce), 18 (Wengè) con base in nickel satinato 75",10.0/8.5,No,Volante,Con Cerniera,"Modello disponibile con bordino a contrasto (secondo rivestimento stessa categoria).",Non Specificato,No,No,No,Sì,No,No,Non Applicabile,Nessuna,Sì,"Solo Pelle. Non disponibile in pelle Misterbianco (cat.30).","Piedi anteriori più alti dei posteriori. Piedi in busta."
2570,Avana,Natuzzi Design Center,Non Specificato,Non Specificato,Non Specificato,No,No,No,Sì,No,Sì,Legno,Legno,"09 (Noce), 18 (Wengè)",4.5,No,Fisso,Fisso,"Poggiatesta regolabile su tutte le versioni tranne angolari. Kit bracciolo e poggiatesta disponibili nelle finiture 75 (Nichel Satinato) / 77 (Cromato Lucido). Laterale divano componibile non in pelle.",2009,No,No,No,No,No,No,Tessuto,Trapuntatura (seduta),Sì (Filo),Non Specificato,"Best seller. Design moderno, seduta trapuntata, struttura tubolare metallica bracciolo, inserto metallo nel piedino. Piedi in busta."
2603,Altea,Natuzzi Design Center,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Legno,Legno,"09 (Noce), 18 (Wengè)",12.0/9.0,No,Fisso,Fisso,Non Specificato,Non Specificato,No,No,No,Sì,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Piedi anteriori più alti dei posteriori. Piedi in busta."
2654,Marlene,Paola Navone,Non Specificato,Non Specificato,Non Specificato,No,Sì,No,No,No,No,Legno,Legno,"09 (Noce), 18 (Wengè)",13.0/8.0,No,Fisso,Fisso,"Disponibile anche sfoderabile con codice Rxxx.",Non Specificato,No,No,No,Sì,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Piedi anteriori più alti dei posteriori. Piedi in busta."
2657,Natalie,Paola Navone,Non Specificato,Non Specificato,Non Specificato,Sì,No,No,No,No,No,Legno,Legno,"09 (Noce), 18 (Wengè)",18.0/13.0,No,Volante,Fisso,"Disponibile con bordino a contrasto (secondo rivestimento stessa categoria).",Non Specificato,Sì,No,No,Sì,No,No,Non Applicabile,Nessuna,Sì,Non Specificato,"Cuscino seduta con strato memory foam. Piedi anteriori con ruote, più alti dei posteriori. Piedi in busta."
2661,Platea,Natuzzi Design Center,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Legno,Metallo,"75 (Nichel Satinato)",18.0,No,Fisso,Fisso,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,Piedi in busta.
2705,Anteprima,Claudio Bellini,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero)",11.5,Sì,Volante,Fisso,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,Piedi già montati.
2715,Cammeo,"Tapinassi & Manzoni",Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Metallo,Non Specificato,"77 (Cromo lucido), 57 (Cacao ruvido)",Non Specificato,Sì,Con Cerniera,Con Cerniera,"Specificare colore (01 Bianco, 02 Nero, 03 Marrone Scuro) per rivestimento esterno retro spalliera.",2011,No,No,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,Piedi già montati.
2717,Bis,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Legno,Non Specificato,"Non Specificato",2.0,No,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,"Cucitura a mocassino (sempre tortora)",No,Non Specificato,Piedi in busta.
2784,Notturno,Natuzzi Design Center,Pelle/Tessuto,No,No,No,No,Letto (Pronto-letto),Sì,Sì,No,Legno,Legno,"09 (Noce), 18 (Wengè)",6.5,No,Volante,Fisso,"Poggiatesta regolabile su tutte le versioni. Dotato di porta guanciale posteriore.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Divano-letto innovativo, apertura 'Pronto-letto'. Ideale per spazi contenuti. Piedi in busta."
2811,Tratto,Maurizio Manzoni,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero)",15.0,No,Fisso,Fisso,"Tutti i rivestimenti disponibili con filo a contrasto (colore filato sempre tortora se scelto, altrimenti tono su tono).",Non Specificato,No,No,No,No,No,No,Non Applicabile,"Zig-zag",Sì (Filo),Non Specificato,"Design elegante, dimensioni compatte, base in metallo lucido. Piedi in busta."
2821,Volo,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,"Recliner (ZeroWall)",Sì,No,Sì,Legno,Metallo,"77 (Cromo Lucido)",11.0,No,Fisso,Fisso,"Meccanismo ZeroWall. Poggiatesta regolabile tutte versioni. Pulsante unico (poggiatesta > poggiapiedi > posizione TV). V.200/201 poggiatesta regolabile seduta terminale. V.480/481 poggiatesta regolabile lato terminale e angolo lato corto. Disponibile vers. 830 Battery Bank. Laterale divano componibile non in pelle.",Non Specificato,Sì,No,No,No,Sì,No,Tessuto,Nessuna,Sì (Filo),Non Specificato,"Compatto, versatile. Compromesso comfort, funzionalità, stile. Cuscino seduta con memory foam. Imballo in scatola per versioni meccanizzate. Piedi in busta."
2826,Borghese,Natuzzi Design Center,Pelle/Tessuto,No,No,No,No,No,Sì,No,Sì,Legno,Legno/Metallo,"Legno: 18 (Wengè); Disponibile con base metallo (V826).",16.0,No,Fisso,Fisso,"Poggiatesta regolabile tutte versioni. V.200/201 poggiatesta regolabile seduta terminale. V.480/481 poggiatesta regolabile lato terminale e angolo lato corto. V. seconda opzione (277/279) chaise longue più ampie di V. standard (047/049). Conf. 016+017 e 018+019 non consentite. Laterale divano componibile in pelle.",Non Specificato,Sì,No,No,No,No,No,Pelle,"Cuciture particolari sui braccioli",No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Design ricercato, base legno o metallo, forme morbide. Cuscino seduta con memory foam. Piedi in busta."
2828,Diesis,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,"Recliner (ZeroWall), Letto, Contenitore",Sì,Sì,Sì,Legno,Legno,"09 (Noce), 18 (Wengè)",4.5,No,"Uniti alla struttura","Uniti alla struttura","Disponibile con bordino a contrasto. Disponibile come divano-letto (materasso Greenplus). Meccanismo Soft Touch (bottoni tra bracciolo/seduta). Meccanismo ZeroWall. Poggiatesta regolabile manualmente (tranne versioni angolari). Chaise longue (377-379) contenitore. Non ordinare versioni con meccanismo (338/328, 450/452, 360/362) accostate a V. angolare (011) o chaise longue (047/049, 377/379). Disponibile vers. 830 Battery Bank. Laterale divano componibile non in pelle.",2013,No,No,No,No,Sì,No,Tessuto,Nessuna,Sì (Bordino),"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Proporzioni compatte. Tecnologia e relax. Piedi in busta."
2834,Tempo,"Manzoni e Tapinassi",Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Legno,Metallo,"Unica: metallo grigio scuro verniciato a polvere",14.0,No,Volante,Volante,"Tutte le pelli disponibili con filo a contrasto (colore filato sempre tortora se scelto, altrimenti tono su tono). V. seconda opzione (277/279) chaise longue più ampie di V. standard (047/049). V.363 ha braccioli differenti. Laterale divano componibile in pelle.",Non Specificato,Sì,No,No,No,No,No,Pelle,Nessuna,Sì (Filo),"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Design sofisticato, senza tempo. Abbinabile a tavolini omonimi. Cuscino seduta con memory foam. Piedi in busta."
2847,Viaggio,"Tapinassi & Manzoni",Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Legno,Legno/Metallo,"Legno: 18 (Wengè), 55 (Frassino Miele). Braccioli: metallo laccato caffè (con struttura Wengè 18) o laccato beige (con struttura Frassino Miele 55).",26.0/19.0,Sì,Fisso,Volante,Non Specificato,2013,No,No,No,Sì,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Piedi anteriori più alti dei posteriori. Piedi già montati."
